author,content,poem name,age,type
carl sandburg,give hunger gods sit givethe world orders give hunger pain want shut shame failurefrom doors gold fame give shabbiest weariest hunger leave little love voice speak day end hand touch dark roombreaking long loneliness dusk day shapesblurring sunset one little wandering western starthrust changing shores shadow let go window watch day shapes duskand wait know comingof little love,At a Window,Modern,Nature
carl sandburg,passing huddled ugly walls doorways women haggardlooked hunger deep eyes haunted shadows hunger hands huddled ugly walls came sudden citys edge blue burst lake long lake waves breaking sunon spray flung curve shore fluttering storm gulls masses great gray wingsand flying white belliesveering wheeling free open,The Harbor,Modern,Nature
carl sandburg,desolate loneall night long lakewhere fog trails mist creeps whistle boatcalls cries unendingly like lost childin tears troublehunting harbors breastand harbors eyes,Lost,Modern,Nature
carl sandburg,shall foot itdown roadway dusk shapes hunger wanderand fugitives pain go shall foot itin silence morning see night slur dawn hear slow great winds arisewhere tall trees flank wayand shoulder toward sky broken boulders roadshall commemorate ruin regret shall gravel foot shall watch forslim birds swift wingthat go wind ranks thunderdrive wild processionals rain dust travelled roadshall touch hands face,The Road and the End,Modern,Nature
richard aldington,sat happy gardens watching still pool reedsand dark cloudswhich wind upper airtore like green leafy boughsof divers hued trees late summer though greatly delightin water lilies sets nighest weepingis rose white color smooth flag stones pale yellow grassesamong,Au Vieux Jardin,Modern,Nature
stephen spender,stephen spender song new collected poems published faber copyright2004 reprinted kind permission estate stephen spender,Song,Modern,Love
edgar lee masters,knowlt hoheimer ran away warthe day curl trenaryswore warrant justice arnettfor stealing hogs thats reason turned soldier caught running lucius atherton quarreled told never againto cross path stole hogs went warback every soldier woman,Lydia Puckett,Modern,Love
edgar lee masters,protested life longthe newspapers lied villainously fault minervas fall tried help poor soul sunk sin could seethat even trying help called broken law human divine passers ancient admonition ways would ways pleasantness pathways peace love god keep commandments,Mrs. Meyers,Modern,Love
william butler yeats,w b yeats politics last poems copyright1939 w b yeats reprinted permission scribner simon schuster inc,Politics,Modern,Love
william butler yeats,w b yeats circus animals desertion poems w b yeats new edition edited richard j finneran copyright macmillan publishing company renewed1961 georgie yeats reprinted permission p watt ltd behalf michael yeats,The Circus Animals Desertion,Modern,Love
william butler yeats,lying cold dead lights paling west would come hither bend head would lay head breast would murmur tender words forgiving dead would rise hasten away though wild birds know hair bound woundabout stars moon sun would beloved layunder dock leaves ground lights paling one one,He wishes his Beloved were Dead,Modern,Love
william butler yeats,never give heart lovewill hardly seem worth thinking ofto passionate women seemcertain never dreamthat fades kiss kiss everything thats lovely isbut brief dreamy kind delight never give heart outright smooth lips say given hearts play could play well enoughif deaf dumb blind love made knows cost gave heart lost,Never give all the Heart,Modern,Love
william butler yeats,may blamed took awaythe verses could move daywhen ears deafened sight eyes blindwith lightning went could findnothing make song kings helmets swords half forgotten thingsthat like memories youbut nowwell world lives long ago laughing weeping fit hurl helmets crowns swords pit dear cling close since gone barren thoughts chilled bone,Reconciliation,Modern,Love
william butler yeats,shy one shy one shy one heart moves firelightpensively apart carries dishes lays row isle waterwith would go carries candles lights curtained room shy doorwayand shy gloom shy rabbit helpful shy isle waterwith would fly,To an Isle in the Water,Modern,Love
sara teasdale,feel spring far far faint far scent bud leafoh spring take heart cometo world grief deep grief sun turns north days grow long later evening star grows brighthow daylight linger onfor men fight still fight grass waking ground soon rise blow waveshow heart swayover graves new graves boughs lovers walkedthe apple blooms shed breathbut lovers nowparted death grey death,Spring in War-Time,Modern,Love
ivor gurney,lying dug outs joking idly wearily watching candle guttering draught hearing great shells go high us eerily singing often turned laughed pity pride photographs colours sizes subjects khaki brothers france mothers faces worn countless dolours girls whose eyes challenging must dance though picture common cheap ill taken card childrenfrozen babies waiting dicky bird peep handkerchief home hes shy bright looks calling delight across miles land sea dread barrage suddenly falling could quite blot outnot mud lethargy smiles triumphant careless laughter pain wide earths sacred things lying dug outs hearing great shells slow sailing mile high heart mounts higher sings onceo keep bitter token dead love boy suddenly moved showed eyes wet low talk broken girl better beloved,Photographs,Modern,Love
louise bogan,knowthat passion warms littleof flesh mold treasure brittle ill lie learnhow ground trees make long shadowand light sound august,Knowledge,Modern,Love
gertrude stein,gertrude stein idem valentine sherwood anderson stein reader copyright1993 gertrude stein reprinted permission david higham estate gertrude stein,Idem the Same: A Valentine to Sherwood Anderson,Modern,Love
james joyce,dana,Song,Modern,Love
paul laurence dunbar,thou art lute thee sing attuned thee thou settest words wing meltest melody thou art life thee live thee proceed joys know sweetheart thy hand power give meed lovethe cup woe thou art love thee lead soul paths light along vale vale mead mead home hills song song soul life need pray make plea since petition cannot fall im already one thee,Thou Art My Lute,Modern,Love
william butler yeats,wine comes mouthand love comes eye thats shall know truthbefore grow old die lift glass mouth look sigh,A Drinking Song,Modern,Love
carl sandburg,bilbea babylon saturday night saw nothing anywhere old place girls bilbea gone another house city dont write sorry walked home half sick tell goes send kind letter take care,Bilbea,Modern,Love
carl sandburg,much love million bushels oh lot oh lot tomorrow maybe half bushel tomorrow maybe even half bushel heart arithmetic way wind measures weather,How Much?,Modern,Love
e  e  cummings,e e cummings freedom breakfastfood complete poems edited george j firmage copyright trustees e e cummings trust copyright1985 george james firmage reprinted permission liveright publishing corporation,[as freedom is a breakfastfood],Modern,Love
e  e  cummings,e e cummings love thicker forget complete poems edited george j firmage copyright trustees e e cummings trust copyright1985 george james firmage reprinted permission liveright publishing corporation,[love is more thicker than forget],Modern,Love
